created_at,screen_name,location,tweet,retweet_count,favorite_count
2020-10-23 14:23:22,بسم الله * AKU,,"Kpd. @kompascom @KompasTV tumben elu begok! Dongok! (Si @Rosianna766Hi cs. Sengaja gk di edit ya? Titipan spa tuh Litbang? Dapet dong amplop?)

Surveymu seharusnya ditujukan kpd Wapres yg baru staun duduk di Istana! Jng bawa2 Jokowi!
Cc  @LuhutBPanjaitan 

https://t.co/D2CIJ6NlPl",0,1
2020-10-23 14:05:30,Sifitrah,,"@dppgmni_id OMNIBUSLAW JADI PUNCAK EVALUASI 1 TAHUN JOKOWI-MA’RUF.
#TolakUUCiptaKerja
#TolakOmnibusLaw
#1TahunJokowiAmin #MosiTidakPercaya
https://t.co/Vks5zunHCf",0,0
2020-10-23 13:44:13,GERAKKANKEMBALIKE UUD'45,Indonesia,HASIL POLLING INEWS TV MELALUI 3 PLATFORM . YANG PERCAYA KINERJA JOKOWI - MARUF AMIN  MENINGKAT BERKISAR 24 PERSEN https://t.co/SIzb690N6w,20,44
2020-10-23 13:27:12,BORNEONEWS,"Central Borneo, Indonesia","Survei Menteri Kabinet Jokowi - Maruf Amin, Tingkat Kepuasan Publik Tertinggi pada Prabowo Subianto

https://t.co/8qCfS4brw7",0,0
2020-10-23 13:05:43,Jabar News,Bandung,"Laporan Tahunan Jokowi Ma'ruf: Pulih dan Bergerak Maju (Part 7)
👇
https://t.co/V8TRaLePyu

#jabarnews #beritalokal #beritahiperlokal #harianjabar #jabartoday #beritajabar #beritajawabarat #jabarterkini #jabar #laporantahunan #jokowi #marufamin #pulihbergerakmaju #part7

@jokowi https://t.co/ZQBrrchGBd",0,0
2020-10-23 13:00:30,#AdatKuatKitaBersatu,Nusantara,"Setahun Jokowi-Ma'ruf, APHA: Masih Utang ke Masyarakat Adat | Politik https://t.co/zPrzYqFax3",2,2
2020-10-23 12:38:47,Zie,,"@SyahRungAn @qiunco2761 @jokowi @kemendagri Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 12:38:33,Leony Ang,,"@aewin86 Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/Ncn5aroMIm",0,0
2020-10-23 12:10:32,Indonesiakininews.com,"Menteng, Indonesia","Daftar Menteri Jokowi-Ma'ruf yang Kinerjanya Puaskan Publik, Prabowo Subianto Rangking 1

https://t.co/qrOHQxO26E",0,4
2020-10-23 11:54:44,KEJAKSAAN NEGERI BERAU,,"Hasil survei yang dilakukan Indonesia Political Review (IPR) terhadap kinerja para menteri kabinet Joko Widodo-Ma'ruf Amin menunjukkan Jaksa Agung ST Burhanuddin berada di posisi keempat dengan skor 44,0 persen.
Sumber : https://t.co/JlTYQCUtQY https://t.co/IVf5GJ6Tka",0,0
2020-10-23 11:37:29,Zie,,"@Amy_Anwar Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 11:37:08,Leony Ang,,"@__MV_llestari__ Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/Ncn5aroMIm",0,0
2020-10-23 11:27:22,INDONESIA (itu) SATU,,"73 - 76 % di tiga media Rakyat berpendapat ... 
Tidak yakin kinerja 
Jokowi-Maruf akan meningkat
di periode ke 2 ... https://t.co/QaY3KVayNS",0,1
2020-10-23 11:26:06,Sukahar,,@Pemuja17430497 @kodimbardo1 Omnibus law disyahkan oleh mayoritas wakil rakyat.itu berarati pemimpin kita sudah menyerap aspirasi masyarakat.sehingga para pemimpin kita tidak maksiat.sehingga wajib kita mentaati pemimpin kita Jokowi Maruf amin dari unsur eksekutif dan for dari unsur legislatif,0,0
2020-10-23 10:40:43,CNN Indonesia,,Jokowi-Ma'ruf Beda Suara Soal Pilkada di Masa Pandemi #Pilkada2020 https://t.co/yLv69IZ859,3,12
2020-10-23 10:19:54,Zie,,"@nuansabening28 Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
2020-10-23 09:48:32,Liputan6.com,Jakarta Indonesia,Deretan Kinerja Kemenkeu Kawal 1 Tahun Jokowi-Ma'ruf Amin https://t.co/NjWnzFqmse,1,2
2020-10-23 09:36:17,𝔸𝕟𝕟𝕒 𝕊𝕦𝕖𝕫𝕒𝕟𝕟,,"Semakin jelas bahwa status pak Ma'aruf hanya sebagai hiasan pemanis saja..

Kasihan, tidak pernah dianggap sejak awal..
https://t.co/9xto2Wiya3",6,55
2020-10-23 09:17:38,Zie,,"@Naunaback Bikin Najwa Heran, Rocky Gerung Beri Nilai A Minus Buat Jokowi - Maruf
https://t.co/77cPTh4yEJ",0,0
